,action,episode,reward,step
607,"0,1,1,1,1,1",1,40,608.0
608,"1,0,0,0,0,0",1,36,609.0
609,"1,0,0,0,0,0",1,32,610.0
610,"2,1,1,1,1,1",1,23,611.0
611,"2,1,1,1,1,1",1,33,612.0
612,"0,0,0,0,0,0",1,37,613.0
613,"0,0,0,0,0,0",1,35,614.0
614,"1,1,1,1,1,1",1,21,615.0
615,"1,1,1,1,1,1",1,38,616.0
616,"2,0,0,0,0,0",1,39,617.0
617,"2,0,0,0,0,0",1,30,618.0
618,"0,1,1,1,1,1",1,22,619.0
619,"0,1,1,1,1,1",1,37,620.0
620,"1,0,0,0,0,0",1,32,621.0
621,"1,0,0,0,0,0",1,26,622.0
622,"2,1,1,1,1,1",1,31,623.0
623,"2,1,1,1,1,1",1,37,624.0
624,"0,0,0,0,0,0",1,35,625.0
625,"0,0,0,0,0,0",1,28,626.0
626,"1,1,1,1,1,1",1,21,627.0
627,"1,1,1,1,1,1",1,35,628.0
628,"2,0,0,0,0,0",1,32,629.0
629,"2,0,0,0,0,0",1,33,630.0
630,"0,1,1,1,1,1",1,24,631.0
631,"0,1,1,1,1,1",1,41,632.0
632,"1,0,0,0,0,0",1,38,633.0
633,"1,0,0,0,0,0",1,36,634.0
634,"2,1,1,1,1,1",1,26,635.0
635,"2,1,1,1,1,1",1,44,636.0
636,"0,0,0,0,0,0",1,37,637.0
637,"0,0,0,0,0,0",1,41,638.0
638,"1,1,1,1,1,1",1,25,639.0
639,"1,1,1,1,1,1",1,40,640.0
640,"2,0,0,0,0,0",1,41,641.0
641,"2,0,0,0,0,0",1,37,642.0
642,"0,1,1,1,1,1",1,29,643.0
643,"0,1,1,1,1,1",1,36,644.0
644,"1,0,0,0,0,0",1,35,645.0
645,"1,0,0,0,0,0",1,37,646.0
646,"2,1,1,1,1,1",1,26,647.0
647,"2,1,1,1,1,1",1,42,648.0
648,"0,0,0,0,0,0",1,41,649.0
649,"0,0,0,0,0,0",1,36,650.0
650,"1,1,1,1,1,1",1,25,651.0
651,"1,1,1,1,1,1",1,40,652.0
652,"2,0,0,0,0,0",1,39,653.0
653,"2,0,0,0,0,0",1,39,654.0
654,"0,1,1,1,1,1",1,24,655.0
655,"0,1,1,1,1,1",1,43,656.0
656,"1,0,0,0,0,0",1,39,657.0
657,"1,0,0,0,0,0",1,40,658.0
658,"2,1,1,1,1,1",1,26,659.0
659,"2,1,1,1,1,1",1,40,660.0
660,"0,0,0,0,0,0",1,41,661.0
661,"0,0,0,0,0,0",1,33,662.0
662,"1,1,1,1,1,1",1,24,663.0
663,"1,1,1,1,1,1",1,45,664.0
664,"2,0,0,0,0,0",1,41,665.0
665,"2,0,0,0,0,0",1,40,666.0
666,"0,1,1,1,1,1",1,24,667.0
667,"0,1,1,1,1,1",1,42,668.0
668,"1,0,0,0,0,0",1,42,669.0
669,"1,0,0,0,0,0",1,34,670.0
670,"2,1,1,1,1,1",1,29,671.0
671,"2,1,1,1,1,1",1,41,672.0
672,"0,0,0,0,0,0",1,42,673.0
673,"0,0,0,0,0,0",1,33,674.0
674,"1,1,1,1,1,1",1,28,675.0
675,"1,1,1,1,1,1",1,41,676.0
676,"2,0,0,0,0,0",1,34,677.0
677,"2,0,0,0,0,0",1,40,678.0
678,"0,1,1,1,1,1",1,23,679.0
679,"0,1,1,1,1,1",1,41,680.0
680,"1,0,0,0,0,0",1,44,681.0
681,"1,0,0,0,0,0",1,30,682.0
682,"2,1,1,1,1,1",1,24,683.0
683,"2,1,1,1,1,1",1,44,684.0
684,"0,0,0,0,0,0",1,37,685.0
685,"0,0,0,0,0,0",1,33,686.0
686,"1,1,1,1,1,1",1,27,687.0
687,"1,1,1,1,1,1",1,41,688.0
688,"2,0,0,0,0,0",1,44,689.0
689,"2,0,0,0,0,0",1,38,690.0
690,"0,1,1,1,1,1",1,26,691.0
691,"0,1,1,1,1,1",1,47,692.0
692,"1,0,0,0,0,0",1,41,693.0
693,"1,0,0,0,0,0",1,35,694.0
694,"2,1,1,1,1,1",1,30,695.0
695,"2,1,1,1,1,1",1,44,696.0
696,"0,0,0,0,0,0",1,40,697.0
697,"0,0,0,0,0,0",1,40,698.0
698,"1,1,1,1,1,1",1,28,699.0
699,"1,1,1,1,1,1",1,42,700.0
700,"2,0,0,0,0,0",1,42,701.0
701,"2,0,0,0,0,0",1,37,702.0
702,"0,1,1,1,1,1",1,29,703.0
703,"0,1,1,1,1,1",1,41,704.0
704,"1,0,0,0,0,0",1,36,705.0
705,"1,0,0,0,0,0",1,34,706.0
706,"2,1,1,1,1,1",1,25,707.0
707,"2,1,1,1,1,1",1,40,708.0
708,"0,0,0,0,0,0",1,41,709.0
709,"0,0,0,0,0,0",1,36,710.0
710,"1,1,1,1,1,1",1,26,711.0
711,"1,1,1,1,1,1",1,41,712.0
712,"2,0,0,0,0,0",1,39,713.0
713,"2,0,0,0,0,0",1,35,714.0
714,"0,1,1,1,1,1",1,25,715.0
715,"0,1,1,1,1,1",1,44,716.0
716,"1,0,0,0,0,0",1,45,717.0
717,"1,0,0,0,0,0",1,37,718.0
718,"2,1,1,1,1,1",1,21,719.0
719,"2,1,1,1,1,1",1,40,720.0
