,action,episode,reward,step,time_sec
45,"3,0,1,1,0,2,1,0,0,2,0,0,0,1,1,1,0,0,0,2,0,0,0,2,3,3,0,1",1,-5,46.0,230
46,"0,3,0,0,0,3,0,1,1,2,1,0,1,0,1,3,0,0,4,2,1,0,0,0,0,1,0,1",1,-3,47.0,235
47,"2,3,0,1,0,0,0,1,1,1,0,0,0,1,1,2,0,1,4,2,1,2,2,0,0,0,0,1",1,-4,48.0,240
48,"0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,3,1,0,3,0,1,0,0,0,1,3,0,1",1,-2,49.0,245
49,"0,0,1,1,0,0,0,0,0,2,0,0,1,1,0,1,1,0,4,1,0,0,3,3,2,3,5,1",1,-2,50.0,250
50,"2,1,0,0,0,0,1,1,1,4,1,0,1,1,1,1,0,0,0,2,0,3,0,1,1,1,2,0",1,-7,51.0,255
51,"4,3,1,1,0,2,0,1,1,1,0,0,0,0,0,2,0,0,4,1,1,1,0,2,2,3,4,2",1,-2,52.0,260
52,"0,0,1,0,0,1,1,3,0,4,0,0,0,1,0,2,0,0,2,2,1,1,1,2,3,1,2,2",1,-1,53.0,265
53,"1,0,0,0,0,3,1,0,0,0,0,0,3,0,1,2,1,0,4,1,1,1,0,0,2,1,3,2",1,-1,54.0,270
54,"3,2,0,0,0,0,1,0,0,1,0,0,1,0,1,2,0,0,4,1,0,0,3,2,1,1,3,0",1,-2,55.0,275
55,"5,2,0,1,0,0,1,0,0,4,0,0,0,0,1,2,1,0,4,2,0,1,3,0,3,0,0,1",1,-5,56.0,280
56,"1,3,0,1,0,0,1,0,0,4,1,0,1,1,0,0,1,0,4,1,0,2,0,3,0,1,2,1",1,-5,57.0,285
57,"4,3,1,1,0,3,1,1,0,3,0,0,1,0,0,1,0,1,5,1,1,1,3,1,1,0,3,0",1,-7,58.0,290
58,"0,0,0,1,0,0,1,3,0,4,1,0,2,0,0,3,1,0,2,0,0,0,1,1,1,0,0,1",1,-6,59.0,295
59,"1,0,0,0,0,1,1,0,1,2,0,0,1,1,1,1,1,0,4,2,0,3,0,2,0,2,0,1",1,-2,60.0,300
60,"0,1,1,0,0,0,0,2,1,2,0,0,1,1,1,3,1,1,5,0,0,0,0,0,2,1,2,1",1,-3,61.0,305
61,"1,1,0,1,0,2,1,0,1,3,1,0,0,1,1,2,0,0,4,2,0,0,2,0,2,1,2,1",1,-3,62.0,310
62,"4,0,1,0,0,2,0,0,0,4,1,0,0,0,1,1,1,0,0,1,1,0,0,0,2,0,0,1",1,-7,63.0,315
63,"0,2,0,0,0,2,0,0,0,0,0,0,1,1,1,2,1,0,4,2,0,1,3,0,2,1,2,1",1,-2,64.0,320
64,"0,2,0,0,0,0,1,0,0,3,1,0,1,0,0,0,1,0,4,0,0,3,2,3,0,0,2,2",1,-4,65.0,325
65,"4,0,0,0,0,0,1,1,0,0,0,0,1,1,1,3,0,1,5,2,0,1,0,2,2,2,0,1",1,-2,66.0,330
66,"2,0,0,1,0,2,0,0,1,0,1,0,3,0,0,2,0,1,0,0,0,0,0,3,2,3,0,1",1,-6,67.0,335
67,"3,2,0,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,5,2,0,2,2,1,0,3,0,1",1,-6,68.0,340
68,"0,2,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,2,1,2,1,0,0,0,1,0,5,0",1,-4,69.0,345
69,"0,2,1,1,0,1,0,1,1,0,0,0,2,1,0,0,1,2,0,0,0,3,3,2,2,2,5,1",1,-8,70.0,350
70,"4,3,0,0,0,3,0,2,0,3,1,0,0,1,0,1,0,0,0,0,0,3,0,0,1,2,3,0",1,-9,71.0,355
71,"3,3,1,1,0,3,0,0,0,3,1,0,1,0,1,2,0,0,4,2,1,1,0,0,0,1,2,0",1,-6,72.0,360
72,"4,2,0,0,0,1,1,1,0,4,1,0,1,1,1,1,0,0,4,0,0,1,0,2,0,3,0,2",1,-3,73.0,365
73,"0,3,0,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,1,1,0,0,2,0,2,0,1",1,-5,74.0,370
74,"4,3,1,1,0,0,1,0,0,3,1,0,1,0,1,3,1,1,3,0,0,0,0,2,0,1,5,1",1,-7,75.0,375
75,"4,3,0,1,0,0,1,2,1,4,0,0,0,1,0,2,1,0,4,0,1,0,3,2,2,0,0,2",1,-5,76.0,380
76,"3,2,1,0,0,0,1,1,1,0,0,0,3,0,0,1,1,0,4,0,1,2,0,0,2,1,5,1",1,-9,77.0,385
77,"0,0,1,0,0,3,1,0,0,2,0,0,3,1,0,3,1,2,4,1,1,2,1,3,0,2,1,1",1,-9,78.0,390
78,"4,2,0,1,0,2,1,0,1,4,1,0,0,0,1,0,1,0,4,1,0,2,0,0,0,0,2,1",1,-8,79.0,395
79,"2,2,1,1,0,1,1,2,0,0,0,0,1,1,1,0,1,0,0,0,0,3,1,2,3,1,0,1",1,-8,80.0,400
80,"4,2,1,0,0,3,0,0,1,4,0,0,1,0,0,1,0,0,2,1,0,1,1,0,0,1,0,1",1,-9,81.0,405
81,"1,3,1,1,0,0,1,0,1,3,0,0,0,1,0,0,0,0,3,2,0,3,0,1,0,0,2,2",1,-16,82.0,410
82,"5,2,1,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,4,0,0,1,1,1,0,1,0,1",1,-13,83.0,415
83,"1,0,1,1,0,1,1,2,0,3,0,0,0,0,0,1,0,1,1,1,0,0,1,1,3,1,0,1",1,-13,84.0,420
84,"0,0,0,1,0,3,0,0,0,0,0,0,1,1,0,1,0,0,0,2,1,3,0,0,2,0,0,2",1,-14,85.0,425
85,"4,2,0,0,0,1,0,3,1,2,1,0,1,1,1,2,1,0,4,0,0,3,0,2,0,3,5,2",1,-2,86.0,430
86,"4,0,1,1,0,2,1,0,1,4,0,0,1,1,0,0,0,2,1,0,0,1,3,3,0,2,0,1",1,-6,87.0,435
87,"4,2,1,1,0,0,0,0,1,4,0,0,1,0,0,2,1,1,2,0,0,1,0,2,0,0,2,2",1,-10,88.0,440
88,"5,2,0,1,0,3,0,1,1,4,1,0,1,1,0,2,0,1,4,2,1,2,1,3,0,2,5,1",1,-9,89.0,445
89,"4,3,0,1,0,0,1,3,1,3,1,0,0,1,0,1,1,1,4,0,0,3,2,2,0,0,4,1",1,-11,90.0,450
90,"3,0,0,1,0,1,0,0,1,4,1,0,1,1,1,2,1,0,4,0,0,0,2,2,2,2,2,0",1,-10,91.0,455
91,"0,0,1,0,0,2,0,0,0,4,0,0,1,0,0,3,0,1,4,2,0,2,0,2,3,1,2,1",1,-10,92.0,460
92,"3,3,1,1,0,1,1,1,1,3,0,0,1,0,1,3,0,1,4,2,0,3,1,3,3,2,2,2",1,-13,93.0,465
93,"0,2,0,0,0,2,1,0,1,3,1,0,0,1,0,2,1,0,5,1,0,3,0,2,1,3,0,2",1,-8,94.0,470
94,"4,3,1,1,0,1,1,1,0,2,1,0,1,1,0,3,1,0,4,0,0,0,3,3,2,1,0,1",1,-8,95.0,475
95,"3,0,1,1,0,0,1,0,1,0,0,0,0,1,1,2,0,1,2,0,0,3,0,0,1,1,5,2",1,-10,96.0,480
96,"3,2,0,1,0,3,0,0,1,0,1,0,1,0,1,3,1,1,2,2,0,3,0,0,1,2,5,1",1,-13,97.0,485
97,"0,3,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,5,0,0,1,0,2,3,1,4,2",1,-13,98.0,490
98,"5,3,1,1,0,3,0,1,1,4,1,0,2,0,1,1,1,0,4,2,0,2,1,0,0,0,5,1",1,-12,99.0,495
99,"4,0,0,0,0,0,1,0,1,3,1,0,0,1,0,3,1,0,4,2,1,2,1,2,1,1,0,1",1,-10,100.0,500
100,"0,2,0,1,0,3,0,1,0,0,0,0,0,1,1,3,1,0,4,0,0,3,2,1,1,1,4,2",1,-11,101.0,505
101,"3,2,0,1,0,1,0,0,1,0,1,0,0,1,0,2,0,0,4,2,0,1,2,0,0,3,3,0",1,-12,102.0,510
102,"4,3,1,1,0,1,0,3,1,1,0,0,0,1,1,0,0,0,5,0,0,3,1,1,0,2,3,1",1,-17,103.0,515
103,"2,2,1,1,0,3,1,3,1,0,0,0,1,1,1,2,1,1,4,1,0,3,1,0,0,1,4,1",1,-18,104.0,520
104,"5,1,0,0,0,3,1,0,0,0,0,0,1,1,1,1,0,0,1,2,0,0,1,3,0,3,3,1",1,-13,105.0,525
105,"0,3,1,1,0,1,1,3,1,4,1,0,0,1,0,1,1,0,4,0,1,3,1,1,0,1,0,1",1,-13,106.0,530
106,"4,0,1,1,0,1,1,3,1,0,1,0,0,1,1,2,1,1,0,0,0,2,0,2,0,2,4,1",1,-8,107.0,535
107,"4,3,1,0,0,2,1,0,0,4,1,0,1,0,0,1,0,1,4,2,0,0,1,0,0,1,0,1",1,-10,108.0,540
108,"1,1,0,1,0,2,1,1,1,4,1,0,0,1,1,1,1,1,4,1,0,3,0,1,2,0,1,2",1,-16,109.0,545
109,"0,2,0,0,0,1,1,0,0,0,0,0,3,0,0,3,0,0,5,0,0,0,1,2,0,3,5,1",1,-11,110.0,550
110,"1,2,1,1,0,1,1,3,1,4,1,0,0,0,1,2,0,0,0,1,0,1,0,2,3,1,4,1",1,-12,111.0,555
111,"0,2,1,1,0,1,0,0,0,4,0,0,3,0,1,3,1,0,3,0,0,2,3,3,0,2,5,1",1,-13,112.0,560
