,arrival_sec,depart_sec,duration_sec,episode,id,wait_sec,wait_step
105,718.00,633.00,85.00,1,f:2_2.3,19.62,6
106,722.00,622.00,100.00,1,f:2_3.2,20.61,6
107,725.00,611.00,114.00,1,f:2_1.1,39.65,18
108,727.00,510.00,217.00,1,f:1_1.19,144.07,121
109,727.00,344.00,383.00,1,f:1_3.4,282.76,236
110,729.00,600.00,129.00,1,f:2_1.0,52.28,36
111,730.00,633.00,97.00,1,f:2_3.3,14.63,0
112,730.00,666.00,64.00,1,f:2_2.6,11.59,1
113,738.00,599.00,139.00,1,f:1_1.27,64.94,36
114,740.00,565.00,175.00,1,f:1_3.24,96.17,69
115,745.00,677.00,68.00,1,f:2_2.7,21.38,3
116,745.00,299.00,446.00,1,f:0_1.27,346.96,232
117,746.00,622.00,124.00,1,f:2_1.2,57.32,34
118,746.00,633.00,113.00,1,f:2_5.3,32.83,11
119,747.00,644.00,103.00,1,f:2_3.4,24.33,7
120,748.00,666.00,82.00,1,f:2_3.6,16.68,2
121,749.00,633.00,116.00,1,f:2_1.3,38.21,12
122,752.00,622.00,130.00,1,f:2_2.2,42.09,14
123,752.00,600.00,152.00,1,f:2_7.0,42.85,14
124,753.00,611.00,142.00,1,f:2_7.1,44.09,11
125,754.00,655.00,99.00,1,f:2_2.5,42.55,30
126,758.00,232.00,526.00,1,f:0_1.21,415.00,322
127,758.00,644.00,114.00,1,f:2_1.4,50.46,20
128,759.00,644.00,115.00,1,f:2_5.4,35.07,7
129,760.00,33.00,727.00,1,f:0_1.3,671.03,646
130,760.00,655.00,105.00,1,f:2_1.5,46.10,27
131,762.00,677.00,85.00,1,f:2_1.7,21.32,2
132,772.00,666.00,106.00,1,f:2_1.6,38.31,23
133,777.00,622.00,155.00,1,f:2_5.2,47.90,14
134,780.00,355.00,425.00,1,f:1_3.5,331.16,291
135,781.00,710.00,71.00,1,f:2_2.10,16.01,8
136,784.00,688.00,96.00,1,f:2_3.8,11.96,0
137,785.00,677.00,108.00,1,f:2_3.7,40.37,24
138,786.00,199.00,587.00,1,f:0_1.18,464.76,366
139,790.00,377.00,413.00,1,f:1_3.7,312.16,242
140,798.00,721.00,77.00,1,f:2_2.11,23.81,15
141,806.00,367.00,439.00,1,f:1_2.1,302.92,165
142,807.00,699.00,108.00,1,f:2_1.9,45.82,28
143,808.00,710.00,98.00,1,f:2_3.10,21.96,2
144,810.00,243.00,567.00,1,f:0_1.22,448.90,329
145,811.00,655.00,156.00,1,f:2_3.5,68.24,42
146,814.00,721.00,93.00,1,f:2_1.11,23.87,4
147,814.00,576.00,238.00,1,f:1_3.25,156.28,115
148,816.00,388.00,428.00,1,f:1_3.8,331.67,263
149,820.00,699.00,121.00,1,f:2_3.9,24.85,11
150,821.00,699.00,122.00,1,f:2_2.9,30.29,8
151,828.00,254.00,574.00,1,f:0_1.23,465.17,330
152,834.00,155.00,679.00,1,f:0_1.14,527.95,432
153,834.00,410.00,424.00,1,f:1_3.10,315.29,239
154,836.00,732.00,104.00,1,f:2_3.12,33.72,12
155,836.00,537.00,299.00,1,f:1_2.19,212.72,144
156,837.00,755.00,82.00,1,f:2_2.14,20.77,7
157,840.00,721.00,119.00,1,f:2_3.11,14.78,0
158,841.00,732.00,109.00,1,f:2_2.12,26.93,2
159,842.00,744.00,98.00,1,f:2_3.13,16.56,0
160,844.00,744.00,100.00,1,f:2_2.13,22.26,0
161,849.00,744.00,105.00,1,f:2_1.13,24.44,5
162,858.00,777.00,81.00,1,f:2_2.16,27.96,8
163,858.00,399.00,459.00,1,f:1_3.9,336.62,257
164,860.00,477.00,383.00,1,f:1_3.16,187.16,95
165,861.00,688.00,173.00,1,f:2_1.8,113.83,98
166,861.00,766.00,95.00,1,f:2_3.15,14.74,4
167,864.00,732.00,132.00,1,f:2_1.12,70.87,53
168,871.00,688.00,183.00,1,f:2_2.8,89.17,74
169,871.00,777.00,94.00,1,f:2_3.16,13.30,0
170,877.00,466.00,411.00,1,f:1_3.15,208.62,125
171,878.00,288.00,590.00,1,f:0_1.26,460.70,324
172,881.00,755.00,126.00,1,f:2_3.14,40.42,22
173,881.00,444.00,437.00,1,f:1_3.13,255.11,176
174,883.00,755.00,128.00,1,f:2_1.14,46.95,27
175,885.00,766.00,119.00,1,f:2_2.15,31.78,9
176,887.00,788.00,99.00,1,f:2_1.17,28.20,16
177,888.00,44.00,844.00,1,f:0_1.4,792.84,759
178,900.00,710.00,190.00,1,f:2_1.10,123.14,104
179,901.00,799.00,102.00,1,f:2_3.18,13.23,0
180,904.00,788.00,116.00,1,f:2_3.17,30.67,13
181,905.00,788.00,117.00,1,f:2_2.17,54.23,34
182,905.00,810.00,95.00,1,f:2_3.19,27.16,4
183,911.00,766.00,145.00,1,f:2_1.15,38.22,15
184,912.00,799.00,113.00,1,f:2_2.18,39.34,14
185,912.00,177.00,735.00,1,f:0_1.16,591.17,497
186,912.00,799.00,113.00,1,f:2_7.18,27.61,1
187,914.00,777.00,137.00,1,f:2_1.16,41.58,1
188,916.00,810.00,106.00,1,f:2_1.19,31.86,2
189,919.00,832.00,87.00,1,f:2_2.21,18.35,0
190,923.00,821.00,102.00,1,f:2_2.20,21.56,4
191,925.00,799.00,126.00,1,f:2_1.18,33.79,3
192,929.00,810.00,119.00,1,f:2_2.19,38.71,19
193,938.00,865.00,73.00,1,f:2_2.24,20.43,10
194,938.00,821.00,117.00,1,f:2_3.20,28.14,9
195,940.00,843.00,97.00,1,f:2_3.22,15.09,0
196,946.00,832.00,114.00,1,f:2_3.21,34.89,20
197,946.00,777.00,169.00,1,f:2_7.16,58.74,30
198,949.00,876.00,73.00,1,f:2_2.25,17.95,5
199,953.00,854.00,99.00,1,f:2_1.23,20.03,2
200,956.00,832.00,124.00,1,f:2_1.21,51.02,15
201,959.00,843.00,116.00,1,f:2_2.22,45.02,25
202,959.00,710.00,249.00,1,f:2_7.10,64.23,9
203,965.00,821.00,144.00,1,f:2_1.20,39.20,12
204,966.00,888.00,78.00,1,f:2_1.26,19.86,4
205,967.00,854.00,113.00,1,f:2_3.23,41.71,11
206,971.00,488.00,483.00,1,f:1_0.17,362.93,335
207,972.00,876.00,96.00,1,f:2_3.25,23.90,6
208,972.00,900.00,72.00,1,f:3_9.0,18.05,4
209,973.00,843.00,130.00,1,f:2_1.22,41.48,24
210,977.00,611.00,366.00,1,f:2_5.1,274.10,233
211,978.00,900.00,78.00,1,f:3_2.0,15.78,2
212,988.00,854.00,134.00,1,f:2_2.23,65.56,41
213,988.00,865.00,123.00,1,f:2_3.24,32.47,12
214,994.00,900.00,94.00,1,f:3_3.0,14.24,0
215,995.00,899.00,96.00,1,f:2_3.27,23.26,0
216,996.00,911.00,85.00,1,f:3_9.1,21.72,9
217,998.00,622.00,376.00,1,f:2_7.2,267.17,228
218,1001.00,899.00,102.00,1,f:2_2.27,31.06,14
219,1009.00,922.00,87.00,1,f:3_1.2,32.99,20
220,1011.00,911.00,100.00,1,f:3_2.1,32.91,18
221,1016.00,922.00,94.00,1,f:3_9.2,28.87,13
222,1017.00,922.00,95.00,1,f:3_3.2,21.06,0
223,1018.00,933.00,85.00,1,f:3_9.3,23.11,6
224,1025.00,911.00,114.00,1,f:3_3.1,24.00,9
225,1036.00,955.00,81.00,1,f:3_3.5,8.05,0
226,1037.00,922.00,115.00,1,f:3_2.2,30.50,11
227,1038.00,944.00,94.00,1,f:3_2.4,23.16,2
228,1045.00,933.00,112.00,1,f:3_2.3,57.91,46
229,1048.00,944.00,104.00,1,f:3_3.4,21.44,4
230,1052.00,955.00,97.00,1,f:3_2.5,11.84,0
231,1053.00,966.00,87.00,1,f:3_1.6,13.26,0
232,1067.00,977.00,90.00,1,f:3_2.7,25.36,10
233,1067.00,977.00,90.00,1,f:3_3.7,13.21,0
234,1072.00,966.00,106.00,1,f:3_3.6,15.36,0
235,1075.00,988.00,87.00,1,f:3_2.8,12.77,0
236,1077.00,999.00,78.00,1,f:3_2.9,18.98,0
237,1080.00,966.00,114.00,1,f:3_2.6,39.32,21
238,1081.00,1010.00,71.00,1,f:3_2.10,19.10,2
239,1086.00,865.00,221.00,1,f:2_1.24,162.20,143
240,1088.00,955.00,133.00,1,f:3_9.5,67.41,49
241,1092.00,944.00,148.00,1,f:3_9.4,59.11,37
242,1101.00,988.00,113.00,1,f:3_3.8,23.66,2
