,action,episode,reward,step,time_sec
61,"0,2,0,0,0,1,1,3,1,0,0,1,3,1,0,3,0,2,4,0,0,0,2,2,3,0,3,1",1,-14,62.0,310
62,"4,2,0,0,0,1,1,3,1,0,1,1,3,1,0,3,0,2,4,2,0,0,2,2,3,3,3,1",1,-16,63.0,315
63,"0,2,0,0,0,1,1,3,1,0,1,1,3,1,0,3,0,2,4,0,0,0,2,2,3,3,3,1",1,-15,64.0,320
64,"4,2,0,0,0,1,1,3,1,0,0,1,1,1,0,3,0,2,4,0,0,0,2,2,3,3,0,1",1,-15,65.0,325
65,"4,2,1,0,0,1,1,3,1,0,1,1,3,1,0,3,0,0,4,2,0,0,2,2,3,3,3,1",1,-15,66.0,330
66,"4,2,0,0,0,1,1,3,1,0,1,1,1,1,0,3,0,2,4,0,0,0,2,3,3,3,3,1",1,-16,67.0,335
67,"4,2,0,0,0,1,1,3,1,0,1,1,1,1,0,0,0,2,4,2,0,0,2,2,3,3,0,1",1,-16,68.0,340
68,"4,2,0,0,0,1,1,3,1,0,1,1,3,1,0,0,0,2,4,2,0,0,2,2,3,3,3,1",1,-18,69.0,345
69,"0,2,1,0,0,1,1,3,1,0,0,1,1,1,0,3,0,0,4,0,0,0,2,2,3,3,0,1",1,-13,70.0,350
70,"0,2,1,0,0,1,1,3,1,0,1,1,3,1,0,0,0,2,4,2,0,0,1,2,3,3,3,1",1,-14,71.0,355
71,"4,2,0,0,0,1,1,3,0,0,1,1,1,1,0,0,0,2,4,0,0,0,2,2,3,3,0,1",1,-17,72.0,360
72,"0,2,0,0,0,1,1,3,0,0,1,1,3,1,0,1,0,2,4,0,0,0,2,2,3,3,3,1",1,-20,73.0,365
73,"0,2,0,0,0,1,1,3,1,0,1,1,1,1,0,0,0,2,4,0,0,0,2,2,3,3,0,1",1,-21,74.0,370
74,"4,2,1,0,0,1,1,3,1,0,1,1,3,1,0,0,0,2,4,2,0,0,1,2,3,3,3,1",1,-18,75.0,375
75,"4,2,0,0,0,1,1,3,1,0,0,1,3,1,0,0,0,2,4,0,0,0,2,2,3,3,3,1",1,-19,76.0,380
76,"4,2,1,0,0,1,1,3,1,0,1,1,1,1,0,0,0,0,4,0,0,0,2,2,3,1,0,1",1,-17,77.0,385
77,"4,2,1,0,0,1,1,3,1,0,1,1,3,1,0,0,0,2,4,0,0,0,2,2,3,3,1,1",1,-19,78.0,390
78,"0,2,0,0,0,1,1,3,1,0,1,1,1,1,0,0,0,2,4,0,0,0,2,2,3,1,0,1",1,-19,79.0,395
79,"0,2,1,0,0,1,1,3,1,0,1,1,1,1,0,1,0,2,4,0,0,0,2,2,3,3,0,1",1,-18,80.0,400
80,"4,2,1,0,0,1,1,3,1,0,1,1,3,1,0,0,0,2,4,0,0,0,2,2,3,3,3,1",1,-19,81.0,405
81,"4,2,0,0,0,1,1,3,1,0,1,1,1,1,0,0,0,0,4,0,0,0,1,2,3,3,0,1",1,-16,82.0,410
82,"0,2,0,0,0,1,1,3,1,0,1,1,1,1,0,1,0,2,4,0,0,0,2,2,3,3,3,1",1,-17,83.0,415
83,"4,2,0,0,0,1,1,3,1,0,1,1,3,1,0,0,0,0,4,0,0,0,1,2,3,3,0,1",1,-14,84.0,420
84,"0,2,0,0,0,1,1,3,1,0,1,1,1,1,0,0,0,2,4,0,0,0,2,2,3,1,0,1",1,-11,85.0,425
85,"0,2,1,0,0,1,1,3,1,0,1,1,3,1,0,1,0,2,4,2,0,0,2,2,3,3,3,1",1,-9,86.0,430
86,"4,2,0,0,0,1,1,3,1,0,1,1,1,1,0,0,0,0,4,2,0,0,2,3,3,3,0,1",1,-7,87.0,435
87,"4,2,1,0,0,1,1,3,1,0,1,1,1,1,0,0,0,2,4,2,0,0,2,3,3,3,0,1",1,-10,88.0,440
88,"4,2,1,0,0,1,1,3,1,0,1,1,1,1,0,0,0,0,4,2,0,0,2,3,3,3,0,1",1,-9,89.0,445
89,"4,1,0,0,0,1,1,3,1,0,1,1,1,1,0,0,0,2,4,2,0,0,1,2,3,3,3,1",1,-12,90.0,450
90,"0,2,0,0,0,1,1,3,0,0,0,1,1,1,0,0,0,0,4,0,0,0,0,2,3,1,5,1",1,-9,91.0,455
91,"4,2,1,0,0,1,1,3,1,0,1,1,1,1,0,0,0,2,4,0,0,0,0,2,3,3,0,1",1,-13,92.0,460
92,"0,1,1,0,0,0,1,3,1,0,1,1,1,1,0,1,0,2,4,2,0,0,1,3,3,3,2,1",1,-12,93.0,465
93,"0,0,1,0,0,0,1,3,1,0,1,1,1,1,0,0,0,0,4,0,0,0,0,3,3,1,5,1",1,-8,94.0,470
94,"0,0,0,0,0,3,1,3,1,0,0,1,1,1,0,0,0,2,4,2,0,0,0,2,3,1,5,1",1,-7,95.0,475
95,"4,0,1,0,0,1,1,3,0,0,1,1,1,1,0,0,0,0,4,1,0,0,0,2,3,1,0,1",1,-10,96.0,480
96,"4,1,1,0,0,1,1,3,0,0,1,1,1,1,0,0,0,2,4,1,0,0,0,2,3,3,0,1",1,-9,97.0,485
97,"0,0,1,0,0,3,1,3,0,0,1,1,1,1,0,0,0,0,4,0,0,0,0,2,3,3,0,1",1,-8,98.0,490
98,"4,1,0,0,0,0,1,3,0,0,1,1,1,1,0,0,0,2,5,2,0,0,1,2,3,3,0,1",1,-10,99.0,495
99,"0,1,0,0,0,1,1,3,0,0,1,1,1,1,0,0,0,0,4,0,0,0,1,2,3,3,0,1",1,-8,100.0,500
100,"4,0,0,0,0,1,1,3,1,0,1,1,1,1,0,0,0,2,4,0,0,0,0,2,3,1,0,1",1,-8,101.0,505
101,"0,2,0,0,0,1,1,3,1,0,0,1,1,1,0,1,0,2,4,2,0,0,1,2,3,1,0,1",1,-11,102.0,510
102,"4,1,0,0,0,1,1,3,1,0,1,1,1,1,0,0,0,0,4,2,0,0,1,2,3,3,5,1",1,-12,103.0,515
103,"0,0,0,0,0,3,1,3,1,0,1,1,1,1,0,1,0,0,4,0,0,0,0,2,3,1,5,1",1,-10,104.0,520
104,"0,2,0,0,0,3,1,0,1,0,1,0,3,1,0,0,0,2,4,2,0,0,1,2,3,3,0,1",1,-9,105.0,525
105,"0,1,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,2,4,2,0,0,1,2,3,1,0,1",1,-13,106.0,530
106,"4,0,0,0,0,3,1,0,1,0,1,0,3,1,0,0,0,2,4,0,0,0,0,2,3,3,0,1",1,-12,107.0,535
107,"4,2,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,2,4,2,0,0,1,2,3,1,0,1",1,-15,108.0,540
108,"0,2,0,0,0,3,1,0,1,0,1,0,3,1,0,1,0,2,4,0,0,0,0,2,3,3,0,2",1,-10,109.0,545
109,"4,0,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,2,4,2,0,0,0,2,3,3,0,1",1,-11,110.0,550
110,"4,2,0,0,0,3,1,3,1,0,1,0,1,1,0,0,0,2,4,2,0,0,1,2,3,3,3,1",1,-13,111.0,555
111,"0,2,1,0,0,1,1,0,1,0,0,0,0,1,0,1,0,0,4,0,0,0,0,2,3,3,0,1",1,-8,112.0,560
112,"4,0,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,2,4,0,0,0,0,2,3,3,0,1",1,-11,113.0,565
113,"0,1,0,0,0,0,1,3,1,0,1,0,1,1,0,0,0,2,4,2,0,0,1,2,3,3,0,1",1,-11,114.0,570
114,"4,2,1,0,0,1,1,3,1,0,1,0,1,1,0,0,0,2,4,0,0,0,2,3,3,1,5,1",1,-12,115.0,575
115,"4,2,0,0,0,3,1,3,1,0,1,0,1,1,0,0,0,2,4,0,0,0,2,2,3,3,3,1",1,-14,116.0,580
116,"0,2,1,0,0,1,1,3,1,0,1,0,1,1,0,0,0,2,4,2,0,0,1,2,3,3,0,1",1,-13,117.0,585
117,"4,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,2,4,2,0,0,1,0,3,1,0,1",1,-11,118.0,590
118,"4,2,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,0,0,0,2,2,3,3,0,1",1,-9,119.0,595
119,"0,2,1,0,0,3,1,3,1,0,1,0,1,1,0,0,0,2,4,2,0,0,2,2,3,3,0,1",1,-10,120.0,600
120,"4,2,1,0,1,1,1,3,1,0,1,0,1,1,0,0,0,2,4,2,0,0,2,2,3,1,0,1",1,-10,121.0,605
121,"4,2,1,0,0,3,1,3,1,0,1,0,1,1,0,0,0,2,4,0,0,0,2,2,3,3,3,0",1,-8,122.0,610
122,"0,2,1,0,0,1,1,3,1,0,1,0,1,1,0,1,0,2,4,2,0,0,2,2,3,3,0,1",1,-9,123.0,615
123,"0,2,1,0,0,3,1,3,1,0,1,0,1,1,0,1,0,2,4,2,0,0,2,2,3,3,2,1",1,-11,124.0,620
124,"0,2,0,0,0,1,1,3,1,0,0,0,1,1,0,1,0,0,4,0,0,0,2,2,3,3,0,1",1,-8,125.0,625
125,"0,2,0,0,0,1,1,3,1,0,1,0,1,1,0,1,0,2,4,0,0,0,1,2,3,3,0,1",1,-11,126.0,630
126,"4,2,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,2,0,0,1,2,3,3,0,1",1,-10,127.0,635
127,"0,1,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,2,0,0,0,0,1,2,3,3,0,1",1,-10,128.0,640
128,"0,2,0,0,0,1,1,3,0,0,0,0,1,1,0,0,0,2,4,0,0,0,1,2,3,3,0,1",1,-12,129.0,645
129,"4,1,0,0,0,1,1,3,0,0,1,0,1,1,0,0,0,0,4,2,0,0,1,2,3,3,2,1",1,-17,130.0,650
130,"0,0,0,0,0,1,1,3,1,0,0,0,1,1,0,1,0,2,4,0,0,0,1,2,3,3,5,1",1,-14,131.0,655
131,"4,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,2,4,0,0,0,0,0,3,1,0,1",1,-12,132.0,660
132,"4,2,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,2,0,0,1,2,3,1,5,0",1,-11,133.0,665
133,"0,2,0,0,0,1,1,3,1,0,1,1,1,1,0,1,0,0,4,0,0,0,1,2,3,1,0,1",1,-13,134.0,670
134,"0,1,1,0,0,1,1,3,1,0,0,0,1,1,0,1,0,0,4,0,0,0,1,2,3,3,0,1",1,-12,135.0,675
135,"4,2,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,0,0,0,0,2,3,3,0,1",1,-16,136.0,680
136,"0,1,0,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,4,2,0,0,1,0,3,3,0,1",1,-10,137.0,685
137,"4,2,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,0,0,0,2,3,3,3,5,2",1,-15,138.0,690
138,"4,2,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,2,4,0,0,0,0,0,3,3,0,1",1,-15,139.0,695
139,"0,0,0,0,0,1,1,3,1,0,1,0,1,1,0,1,0,0,4,0,0,0,1,2,3,3,5,0",1,-16,140.0,700
140,"0,2,1,0,0,1,1,3,1,0,0,0,1,1,0,1,0,0,4,2,0,0,1,0,3,1,0,0",1,-12,141.0,705
141,"4,2,1,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,4,0,0,0,0,2,3,3,0,1",1,-16,142.0,710
142,"0,1,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,2,0,0,1,3,3,1,0,0",1,-14,143.0,715
143,"4,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,4,0,0,0,0,2,3,1,0,1",1,-17,144.0,720
144,"0,2,0,0,0,3,1,0,1,0,0,0,1,1,0,1,0,0,4,0,0,0,1,0,3,1,0,0",1,-13,145.0,725
145,"4,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,4,2,0,0,1,2,3,3,0,1",1,-15,146.0,730
146,"4,0,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,0,0,0,0,2,3,3,0,0",1,-19,147.0,735
147,"4,2,1,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,2,0,0,1,2,3,1,0,1",1,-20,148.0,740
148,"0,0,1,0,0,1,1,0,1,0,1,0,1,1,0,1,0,0,4,0,0,0,0,0,3,3,0,1",1,-15,149.0,745
149,"4,0,0,0,0,0,1,1,1,0,1,0,1,1,0,0,0,0,4,0,0,0,0,0,3,3,0,1",1,-16,150.0,750
150,"4,1,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,2,0,0,1,2,3,3,0,0",1,-22,151.0,755
151,"4,0,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,0,0,0,0,2,3,1,0,1",1,-22,152.0,760
152,"4,1,1,0,1,0,1,0,1,0,1,0,3,1,0,0,0,0,4,0,0,0,0,2,3,3,0,0",1,-22,153.0,765
153,"4,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,4,0,0,0,0,0,3,1,5,1",1,-19,154.0,770
154,"4,1,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,2,0,0,1,2,3,3,0,2",1,-18,155.0,775
155,"4,2,0,0,0,1,1,3,1,0,1,1,1,1,0,0,0,0,4,0,0,0,0,2,3,3,5,1",1,-20,156.0,780
156,"4,2,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,0,0,0,2,2,3,3,0,1",1,-20,157.0,785
157,"4,1,0,0,0,3,1,3,1,0,1,0,1,1,0,0,0,0,4,2,0,0,1,2,3,3,0,2",1,-24,158.0,790
158,"0,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,4,2,0,0,1,0,3,3,0,2",1,-26,159.0,795
159,"4,0,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,0,0,0,0,2,3,1,0,1",1,-23,160.0,800
160,"0,1,0,0,0,1,1,3,1,0,0,0,1,1,0,0,0,0,4,0,0,0,1,2,3,3,0,0",1,-20,161.0,805
161,"4,2,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,2,0,0,1,0,3,3,0,0",1,-24,162.0,810
162,"4,2,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,2,0,0,1,2,3,3,0,1",1,-24,163.0,815
163,"4,1,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,4,2,0,0,1,2,3,3,5,0",1,-22,164.0,820
164,"4,2,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,0,0,0,2,2,3,3,0,0",1,-20,165.0,825
165,"4,2,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,4,2,0,0,2,2,3,3,0,1",1,-21,166.0,830
166,"4,0,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,4,0,0,0,0,0,3,1,0,1",1,-24,167.0,835
167,"4,2,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,2,0,0,1,2,3,3,0,1",1,-24,168.0,840
168,"4,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,4,2,0,0,1,2,3,3,2,1",1,-24,169.0,845
169,"4,0,1,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,0,0,0,0,3,3,3,0,0",1,-24,170.0,850
170,"4,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,4,2,0,0,1,2,3,3,5,0",1,-26,171.0,855
171,"0,1,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,2,0,0,1,2,3,1,0,0",1,-27,172.0,860
172,"4,2,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,4,0,0,0,2,0,3,3,0,0",1,-22,173.0,865
173,"4,2,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,4,0,0,0,1,2,3,3,0,1",1,-26,174.0,870
174,"4,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,4,2,0,0,1,0,3,3,5,1",1,-24,175.0,875
175,"4,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,4,2,0,0,1,2,3,3,0,0",1,-23,176.0,880
176,"4,0,1,0,1,1,1,1,1,0,1,0,1,1,0,0,0,0,4,0,0,0,0,2,3,3,0,0",1,-23,177.0,885
177,"0,1,1,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,4,0,0,0,1,2,3,1,0,0",1,-18,178.0,890
178,"4,1,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,2,0,0,1,2,3,3,5,0",1,-22,179.0,895
179,"4,0,1,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,0,0,0,0,3,3,1,0,0",1,-22,180.0,900
180,"4,2,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,4,2,0,0,1,0,3,1,0,0",1,-23,181.0,905
181,"4,2,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,2,0,0,2,2,3,3,0,0",1,-24,182.0,910
182,"4,1,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,4,2,0,0,1,2,3,3,5,1",1,-23,183.0,915
183,"4,2,0,0,0,1,1,3,1,0,1,0,0,1,0,0,0,0,4,0,0,0,2,0,3,1,0,0",1,-20,184.0,920
184,"4,1,1,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,0,0,0,1,2,3,1,0,0",1,-26,185.0,925
185,"0,2,0,0,0,1,1,3,1,0,0,0,1,1,0,1,0,0,4,2,0,0,1,3,3,3,0,0",1,-23,186.0,930
186,"4,1,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,2,0,0,1,0,3,1,5,1",1,-24,187.0,935
187,"4,2,1,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,4,0,0,0,1,2,3,3,0,1",1,-24,188.0,940
188,"4,2,1,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,4,2,0,0,1,0,3,1,0,0",1,-23,189.0,945
189,"4,2,1,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,0,0,0,2,2,3,3,0,0",1,-23,190.0,950
190,"4,2,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,0,0,0,0,2,3,3,0,0",1,-25,191.0,955
191,"4,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,0,0,4,2,0,0,1,0,3,3,0,0",1,-25,192.0,960
192,"0,0,1,0,0,3,1,0,1,0,1,0,1,1,0,0,0,0,4,0,0,0,0,2,3,3,3,0",1,-26,193.0,965
193,"4,1,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,4,2,0,0,1,0,3,1,5,0",1,-25,194.0,970
194,"0,2,0,0,0,1,1,3,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1,2,3,3,0,0",1,-26,195.0,975
195,"4,1,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,0,2,0,0,1,0,3,1,0,0",1,-27,196.0,980
196,"4,1,0,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,2,0,2,1,2,3,3,5,0",1,-33,197.0,985
197,"0,2,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,4,0,0,2,0,0,3,3,0,0",1,-24,198.0,990
198,"4,2,1,0,0,1,1,3,1,0,1,0,1,1,0,0,0,0,4,2,0,0,1,2,3,3,0,0",1,-26,199.0,995
