,agent,avg_reward,std_reward,step,test_id
0,ia2c,-152.69166666666666,90.3272257314113,720,-1
1,ia2c,-106.1625,68.37801372090789,1440,-1
2,ia2c,-113.12361111111112,62.61595907917023,2160,-1
3,ia2c,-136.33333333333334,78.5001769283215,2880,-1
4,ia2c,-119.14027777777778,72.13780053889573,3600,-1
5,ia2c,-123.68055555555556,76.18120327892368,4320,-1
6,ia2c,-100.1361111111111,59.15061591103106,5040,-1
7,ia2c,-144.5388888888889,85.26817915578594,5760,-1
8,ia2c,-132.8625,79.67769612894605,6480,-1
9,ia2c,-114.06111111111112,64.39508382623362,7200,-1
10,ia2c,-137.98611111111111,85.74880839074149,7920,-1
11,ia2c,-131.52916666666667,77.83004442997718,8640,-1
12,ia2c,-136.15416666666667,75.49854567675828,9360,-1
13,ia2c,-98.1875,57.28464123591748,10080,-1
14,ia2c,-105.83611111111111,58.33469833059041,10800,-1
15,ia2c,-112.01944444444445,66.43060004179986,11520,-1
16,ia2c,-104.72638888888889,63.54833132929341,12240,-1
17,ia2c,-153.48472222222222,92.34393615374691,12960,-1
18,ia2c,-143.37222222222223,88.87949273254806,13680,-1
19,ia2c,-109.16666666666667,58.44451309670661,14400,-1
20,ia2c,-110.16388888888889,65.07319235026296,15120,-1
21,ia2c,-139.40277777777777,84.76306187810005,15840,-1
22,ia2c,-101.35833333333333,63.88378717553373,16560,-1
23,ia2c,-130.2125,79.69584967149238,17280,-1
24,ia2c,-114.64583333333333,69.8579778262456,18000,-1
25,ia2c,-130.19583333333333,85.1954402429757,18720,-1
26,ia2c,-133.80416666666667,80.01752748530231,19440,-1
27,ia2c,-116.8638888888889,66.20937602609943,20160,-1
28,ia2c,-139.85694444444445,83.7158741856261,20880,-1
29,ia2c,-100.2388888888889,58.450749818295634,21600,-1
30,ia2c,-123.24166666666666,79.1138415863846,22320,-1
31,ia2c,-103.5375,60.39562837725371,23040,-1
32,ia2c,-130.18055555555554,85.88508575560085,23760,-1
33,ia2c,-107.60277777777777,65.34086260233549,24480,-1
34,ia2c,-128.3972222222222,79.68310843624091,25200,-1
35,ia2c,-116.75277777777778,67.94090563828699,25920,-1
36,ia2c,-76.12916666666666,47.02243831258765,26640,-1
37,ia2c,-118.15138888888889,71.79717282629424,27360,-1
38,ia2c,-110.03472222222223,61.279824166872736,28080,-1
39,ia2c,-133.46527777777777,81.20605762113615,28800,-1
40,ia2c,-83.81666666666666,49.34005866320883,29520,-1
41,ia2c,-94.68055555555556,50.75259336255332,30240,-1
42,ia2c,-112.8638888888889,73.3332448968322,30960,-1
43,ia2c,-95.34444444444445,57.90042431452872,31680,-1
44,ia2c,-143.31944444444446,91.5115090498471,32400,-1
