,agent,avg_reward,std_reward,step,test_id
0,ma2c,-102.16527777777777,58.42515787009104,720,-1
1,ma2c,-146.7763888888889,93.71074732781535,1440,-1
2,ma2c,-98.37638888888888,57.49165396689128,2160,-1
3,ma2c,-135.01527777777778,75.88863214481948,2880,-1
4,ma2c,-118.3,73.52821831711202,3600,-1
5,ma2c,-109.41388888888889,64.31027934413741,4320,-1
6,ma2c,-117.92222222222222,70.41545013194157,5040,-1
7,ma2c,-103.39444444444445,64.30867379048769,5760,-1
8,ma2c,-147.9625,87.06475868490713,6480,-1
9,ma2c,-142.93055555555554,88.05106258253548,7200,-1
10,ma2c,-139.84305555555557,84.9475922201266,7920,-1
11,ma2c,-164.57638888888889,104.84936151060766,8640,-1
12,ma2c,-139.54305555555555,86.81962995900832,9360,-1
13,ma2c,-112.29583333333333,66.44577977046816,10080,-1
14,ma2c,-102.64861111111111,62.777496173778424,10800,-1
15,ma2c,-123.99861111111112,71.00030319390575,11520,-1
16,ma2c,-128.94027777777777,74.7755199092632,12240,-1
17,ma2c,-147.0125,87.6301483469334,12960,-1
18,ma2c,-170.31805555555556,99.10580881393169,13680,-1
19,ma2c,-103.05555555555556,60.16068504173933,14400,-1
20,ma2c,-96.39166666666667,59.10169613565343,15120,-1
21,ma2c,-107.98472222222222,67.68873646602724,15840,-1
22,ma2c,-157.78194444444443,94.1767897602826,16560,-1
23,ma2c,-103.98055555555555,59.46555641454436,17280,-1
24,ma2c,-131.2,92.74160039833497,18000,-1
25,ma2c,-93.05833333333334,50.97359814976115,18720,-1
26,ma2c,-138.7763888888889,84.75424439233372,19440,-1
27,ma2c,-145.74583333333334,92.64262643426561,20160,-1
28,ma2c,-127.51527777777778,79.48921862555083,20880,-1
29,ma2c,-99.58888888888889,57.73423679902101,21600,-1
30,ma2c,-134.67777777777778,81.61152257668,22320,-1
31,ma2c,-124.08611111111111,80.8539549392668,23040,-1
32,ma2c,-86.54583333333333,48.31560720207867,23760,-1
33,ma2c,-107.17361111111111,65.42023661820629,24480,-1
34,ma2c,-100.01388888888889,59.31303329125797,25200,-1
35,ma2c,-149.06944444444446,95.85463913726765,25920,-1
36,ma2c,-95.44027777777778,56.93828813266513,26640,-1
37,ma2c,-113.10555555555555,70.42671504023188,27360,-1
38,ma2c,-84.7611111111111,47.44293225537029,28080,-1
